zinc_id,smiles
ZINC001848444480,NCCCCNc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
ZINC001848444479,NCCCCNc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O
ZINC001848444478,O=C(O)C(Cc1ccccc1[N+](=O)[O-])Cc1ccccc1[N+](=O)[O-]
ZINC001848444477,O=C(O)C(Cc1ccc(Cl)cc1Cl)Cc1ccc(Cl)cc1Cl
ZINC001848444476,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](Cc1cccc(F)c1)C(=O)O
ZINC001848444475,COc1c(B(O)O)cc(F)cc1C(=O)O
ZINC001848444474,O=C(O)CN(Cc1ccc([N+](=O)[O-])cc1)C(=O)OCC1c2ccccc2-c2ccccc21
ZINC001848444473,NCCCCCCCNc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O
ZINC001848444472,NCCCCCCCNc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
ZINC001848444471,CC(C)(C)OC(=O)NCC(F)(F)c1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444470,CC(C)(C)OC(=O)NCCCc1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444469,NCC(F)(F)c1cc(Br)cc2cccnc12
ZINC001848444468,NC[C@@H](F)c1cc(Br)cc2cccnc12
ZINC001848444467,NC[C@H](F)c1cc(Br)cc2cccnc12
ZINC001848444466,CC(C)(C)OC(=O)NC[C@@H](F)c1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444465,CC(C)(C)OC(=O)NC[C@H](F)c1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444464,Cc1nnc(-c2ccc(B(O)O)cc2[C@@H](O)CNC(=O)OC(C)(C)C)s1
ZINC001848444463,Cc1nnc(-c2ccc(B(O)O)cc2[C@H](O)CNC(=O)OC(C)(C)C)s1
ZINC001848444462,CC1(C)OB(c2cc(CCCO[Si](C)(C)C(C)(C)C)c3ncccc3c2)OC1(C)C
ZINC001848444461,NCCCc1cc(Br)cc2cccnc12
ZINC001848444460,CCOC(=O)c1cnc([Sn](C(C)(C)C)(C(C)(C)C)C(C)(C)C)n1CC(=O)OC
ZINC001848444459,CC(C)(C)OC(=O)NC[C@@H](O)c1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444458,CC(C)(C)OC(=O)NC[C@H](O)c1cc(B2OC(C)(C)C(C)(C)O2)cc2cccnc12
ZINC001848444457,Cc1nnc(-c2ccc(B(O)O)cc2[C@@H](F)CNC(=O)OC(C)(C)C)s1
ZINC001848444456,Cc1nnc(-c2ccc(B(O)O)cc2[C@H](F)CNC(=O)OC(C)(C)C)s1
ZINC001848444455,OCCCc1cc(Br)cc2cccnc12
ZINC001848444454,NC[C@@H](O)c1cc(Br)cc2cccnc12
