Name,smiles,MolecularWeight
Cc1ccc(C)c(B(c2cc(C)ccc2C)c2cc(C)ccc2C)c1,[B](c1cc(C)ccc1C)(c1cc(C)ccc1C)(c1cc(C)ccc1C),326.29
N#Cc1cccc(B(c2ccc(C(=O)O)cc2)c2ccccc2F)c1,[B](c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),329.14
Fc1ccc(B(c2ccccc2)c2ccccc2F)cc1,[B](c1ccccc1)(c1ccc(F)cc1)(c1ccccc1F),278.11
N#Cc1cccc(B(c2ccccc2)c2ccc(F)cc2)c1,[B](c1ccccc1)(c1ccc(F)cc1)(c1cc(C#N)ccc1),285.13
Fc1ccc(B(c2ccc(F)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1ccc(CCl)cc1),326.58
Cc1ccc(B(c2ccc(CCl)cc2)c2cc(C)ccc2C)cc1,[B](c1ccc(C)cc1)(c1cc(C)ccc1C)(c1ccc(CCl)cc1),332.68
N#Cc1cccc(B(c2ccc(CCl)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),359.62
Cc1ccc(C)c(B(c2ccccc2)c2cccc(C#N)c2)c1,[B](c1ccccc1)(c1cc(C)ccc1C)(c1cc(C#N)ccc1),295.19
Cc1ccc(C)c(B(c2ccc(C(=O)O)cc2)c2cc(C)ccc2C)c1,[B](c1cc(C)ccc1C)(c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1),342.25
Cc1ccc(B(c2ccc(C(=O)O)cc2)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),318.16
Cc1ccc(B(c2ccc(C)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1ccc(CCl)cc1),318.66
Fc1ccccc1B(c1ccccc1)c1ccccc1F,[B](c1ccccc1)(c1ccccc1F)(c1ccccc1F),278.11
Cc1ccc(B(c2ccc(F)cc2)c2ccccc2F)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1ccccc1F),292.14
N#Cc1cccc(B(c2ccc(F)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccc(F)cc1)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),329.14
Cc1ccc(B(c2cc(C)ccc2C)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1cc(C)ccc1C)(c1ccccc1F),302.2
Cc1ccc(B(c2ccc(Cl)cc2)c2ccccc2F)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C)cc1)(c1ccccc1F),308.59
Cc1ccc(B(c2ccc(C)cc2)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1ccccc1F),288.17
Cc1ccc(B(c2ccc(CCl)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),348.64
O=C(O)c1ccc(B(c2ccc(Cl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),369.06
O=C(O)c1ccc(B(c2ccc(CCl)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),378.62
ClCc1ccc(B(c2ccc(Cl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),373.52
Cc1ccc(B(c2ccccc2)c2cccc(C#N)c2)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1cc(C#N)ccc1),281.17
Cc1ccc(B(c2ccc(F)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1ccc(C)cc1),308.59
Fc1ccccc1B(c1ccccc1)c1ccccc1,[B](c1ccccc1)(c1ccccc1)(c1ccccc1F),260.12
Cc1ccc(C)c(B(c2ccc(F)cc2)c2ccc(F)cc2)c1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1cc(C)ccc1C),306.16
N#Cc1cccc(B(c2cccc(C#N)c2)c2ccccc2F)c1,[B](c1cc(C#N)ccc1)(c1cc(C#N)ccc1)(c1ccccc1F),310.14
Cc1ccc(C)c(B(c2ccc(F)cc2)c2ccc(CCl)cc2)c1,[B](c1ccc(F)cc1)(c1cc(C)ccc1C)(c1ccc(CCl)cc1),336.65
N#Cc1cccc(B(c2ccccc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccccc1)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),311.15
Cc1ccc(B(c2ccc(F)cc2)c2ccc(F)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1ccc(C)cc1),292.14
O=C(O)c1ccc(B(c2ccc(F)cc2)c2ccccc2F)cc1,[B](c1ccc(F)cc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),322.12
O=C(O)c1ccc(B(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),374.16
Cc1ccc(C)c(B(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),358.2
